2026-06-26 21:48:45 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-26 21:48:45 | INFO     | aoi.main | MainThread | AOI application started
2026-06-26 21:48:46 | INFO     | aoi.main | MainThread | Launching GUI
2026-06-26 21:48:48 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-29 09:35:21 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-29 09:35:21 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-29 10:07:21 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-29 10:07:21 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-29 10:26:04 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-29 10:26:04 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-29 10:26:13 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-29 10:26:13 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-29 10:26:21 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-29 10:26:21 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-29 10:29:37 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-29 10:29:37 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-30 15:06:10 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-30 15:06:10 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-30 16:20:21 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-30 16:20:21 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-30 16:27:22 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-30 16:27:22 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-30 16:28:04 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-30 16:28:04 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-30 16:33:41 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-30 16:33:41 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-30 16:34:28 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-30 16:34:28 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-30 17:00:51 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-30 17:00:51 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-06-30 17:01:30 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-06-30 17:01:30 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-02 09:40:23 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-02 09:40:23 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-02 16:35:08 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-02 16:35:08 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-02 16:37:51 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-02 16:37:51 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-02 17:46:34 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-02 17:46:34 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-02 20:49:17 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-02 20:49:17 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-14 13:38:59 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 13:38:59 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-14 13:39:21 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 13:39:21 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=outputs_validation\gpu_smoke.png recipe=outputs_validation\gpu_fallback_recipe.yaml output=outputs_validation\gpu_smoke_output debug=False
2026-07-14 13:39:21 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Recipe loaded: name=PRODUCT_A_AOI_01 version=0.1.0
2026-07-14 13:39:21 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Image loaded: image=outputs_validation\gpu_smoke.png shape=(640, 640, 3)
2026-07-14 13:39:21 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Detectors initialized: count=1 ids=['401-1']
2026-07-14 13:39:21 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Tiles prepared: count=4 mode=grid
2026-07-14 13:39:21 | INFO     | aoi.core.reporter.Reporter | MainThread | Writing report outputs: image=gpu_smoke.png base=gpu_smoke_PRODUCT_A_AOI_01_20260714_133921_854808_35725d8b
2026-07-14 13:39:21 | INFO     | aoi.core.reporter.Reporter | MainThread | Report outputs written: outputs={'overlay': 'outputs_validation\\gpu_smoke_output\\overlay\\gpu_smoke_PRODUCT_A_AOI_01_20260714_133921_854808_35725d8b_overlay.png', 'ng_tiles_dir': 'outputs_validation\\gpu_smoke_output\\ng_tiles', 'csv': 'outputs_validation\\gpu_smoke_output\\csv\\gpu_smoke_PRODUCT_A_AOI_01_20260714_133921_854808_35725d8b.csv', 'matrix_csv': 'outputs_validation\\gpu_smoke_output\\matrix_csv\\gpu_smoke_PRODUCT_A_AOI_01_20260714_133921_854808_35725d8b_matrix.csv', 'json': 'outputs_validation\\gpu_smoke_output\\json\\gpu_smoke_PRODUCT_A_AOI_01_20260714_133921_854808_35725d8b.json'}
2026-07-14 13:39:21 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection completed: image=gpu_smoke.png final=PASS defects=0 ng_tiles=0 duration=0.054s
2026-07-14 13:39:58 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 13:39:58 | INFO     | aoi.gui.workers.ImagePreviewWorker | MainThread | Preview load started: image=outputs_validation\gpu_smoke.png
2026-07-14 13:39:58 | INFO     | aoi.gui.workers.ImagePreviewWorker | MainThread | Preview load completed: image=outputs_validation\gpu_smoke.png size=640x640
2026-07-14 13:39:58 | INFO     | aoi.gui.workers.TilePreviewWorker | MainThread | Tile preview started: image=outputs_validation\gpu_smoke.png config={'mode': 'grid', 'width': 256, 'height': 256, 'overlap_x': 0, 'overlap_y': 0}
2026-07-14 13:39:58 | INFO     | aoi.gui.workers.TilePreviewWorker | MainThread | Tile preview completed: image=outputs_validation\gpu_smoke.png tiles=9
2026-07-14 13:43:20 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 13:43:20 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-14 14:03:13 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 14:03:13 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-14 14:05:37 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 14:05:37 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-14 15:34:35 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\input.png recipe=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\cpu.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\cpu_output debug=False
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Recipe loaded: name=GPU_OBSERVABILITY_TEST version=1.0.0
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Image loaded: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\input.png shape=(128, 128, 3)
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Detectors initialized: count=1 ids=['401-1']
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Tiles prepared: count=4 mode=grid
2026-07-14 15:34:35 | INFO     | aoi.core.reporter.Reporter | MainThread | Writing report outputs: image=input.png base=input_GPU_OBSERVABILITY_TEST_20260714_153435_100811_8c38d20c
2026-07-14 15:34:35 | INFO     | aoi.core.reporter.Reporter | MainThread | Report outputs written: outputs={}
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection completed: image=input.png final=NG defects=334 ng_tiles=4 duration=0.033s
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection performance: {'schema_version': 1, 'measurement_scope': 'host_wall_clock', 'stages_sec': {'aggregation': 8e-06, 'detectors_total': 0.015783, 'image_load': 0.009716, 'initialization': 3e-05, 'recipe_setup': 0.006152, 'reporting_total': 0.003012, 'tiling': 3.3e-05}, 'detectors_sec': {'401-1': 0.015754}, 'reporting_sec': {}, 'end_to_end_sec': 0.035651}
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\input.png recipe=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\fallback.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\fallback_output debug=False
2026-07-14 15:34:35 | WARNING  | aoi.core.pipeline.AOIPipeline | MainThread | CUDA requested; falling back to CPU: CUDA DLL not found: C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\definitely_missing.dll
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Recipe loaded: name=GPU_OBSERVABILITY_TEST version=1.0.0
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Image loaded: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_37ore1dh\input.png shape=(128, 128, 3)
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Detectors initialized: count=1 ids=['401-1']
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Tiles prepared: count=4 mode=grid
2026-07-14 15:34:35 | WARNING  | aoi.core.pipeline.AOIPipeline | MainThread | Detector CUDA fallback: {'401-1': 'CUDA DLL not found: C:\\Users\\王\\AppData\\Local\\Temp\\visionflow_cpu_fallback_37ore1dh\\definitely_missing.dll'}
2026-07-14 15:34:35 | INFO     | aoi.core.reporter.Reporter | MainThread | Writing report outputs: image=input.png base=input_GPU_OBSERVABILITY_TEST_20260714_153435_122946_6f8817ee
2026-07-14 15:34:35 | INFO     | aoi.core.reporter.Reporter | MainThread | Report outputs written: outputs={}
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection completed: image=input.png final=NG defects=334 ng_tiles=4 duration=0.021s
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection performance: {'schema_version': 1, 'measurement_scope': 'host_wall_clock', 'stages_sec': {'aggregation': 7e-06, 'detectors_total': 0.012623, 'image_load': 0.000454, 'initialization': 2.5e-05, 'recipe_setup': 0.006841, 'reporting_total': 0.001337, 'tiling': 2.8e-05}, 'detectors_sec': {'401-1': 0.012597}, 'reporting_sec': {}, 'end_to_end_sec': 0.02194}
2026-07-14 15:34:35 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | CUDA host metrics: {'measurement_scope': 'synchronous_host_wrapper_estimate', 'note': 'ABI v1 combines allocation, H2D, kernel, synchronize, D2H and free in one call.', 'load_sec': 5.5e-05, 'call_count': 0, 'estimated_round_trips': 0, 'host_to_device_bytes': 0, 'device_to_host_bytes': 0, 'wall_sec': 0.0, 'lock_wait_sec': 0.0, 'functions': {}}
2026-07-14 15:34:55 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 15:34:55 | INFO     | aoi.gui.main_window.MainWindow | MainThread | MainWindow initialized
2026-07-14 15:35:52 | INFO     | aoi | MainThread | Logging configured: dir=outputs\logs level=INFO
2026-07-14 15:35:52 | INFO     | aoi.core.pipeline.AOIPipeline | MainThread | Inspection started: image=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_xu9ua6gy\input.png recipe=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_xu9ua6gy\cpu.yaml output=C:\Users\王\AppData\Local\Temp\visionflow_cpu_fallback_xu9ua6gy\cpu_output debug=False
